遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5, 
39樂合彩,111000059,2022/03/10,29211150,1168446,15885875,12,14,19,33,34,,,,,,,
39樂合彩,111000060,2022/03/11,28113125,1124525,31355500,04,06,11,20,29,,,,,,,
39樂合彩,111000061,2022/03/12,30997950,1239918,23925500,07,10,14,17,20,,,,,,,
39樂合彩,111000062,2022/03/14,31023850,1240954,19846375,10,16,17,19,23,,,,,,,
39樂合彩,111000063,2022/03/15,27735225,1109409,9592750,02,04,07,30,38,,,,,,,
39樂合彩,111000064,2022/03/16,29530500,1181220,12284750,10,18,19,33,35,,,,,,,
39樂合彩,111000065,2022/03/17,27992300,1119692,12558250,18,19,26,34,37,,,,,,,
39樂合彩,111000066,2022/03/18,26591775,1063671,9852750,03,14,23,29,30,,,,,,,
39樂合彩,111000067,2022/03/19,28867650,1154706,9541875,02,10,25,26,35,,,,,,,
39樂合彩,111000068,2022/03/21,28527450,1141098,16613125,03,06,07,21,24,,,,,,,
39樂合彩,111000069,2022/03/22,24810275,992411,12774000,09,27,29,34,35,,,,,,,
39樂合彩,111000070,2022/03/23,25520850,1020834,12107250,12,13,20,27,30,,,,,,,
39樂合彩,111000071,2022/03/24,26204575,1048183,12942625,01,12,13,19,31,,,,,,,
39樂合彩,111000072,2022/03/25,24911725,996469,16124500,08,12,13,14,18,,,,,,,
39樂合彩,111000073,2022/03/26,27502375,1100095,14848875,03,12,22,33,39,,,,,,,
39樂合彩,111000074,2022/03/28,25434325,1017373,13976250,06,17,21,25,29,,,,,,,
39樂合彩,111000075,2022/03/29,24750000,990000,16133500,03,16,26,27,36,,,,,,,
39樂合彩,111000076,2022/03/30,27416800,1096672,9668125,01,21,28,29,34,,,,,,,
39樂合彩,111000077,2022/03/31,25752300,1030092,21674250,05,08,12,17,19,,,,,,,
39樂合彩,111000078,2022/04/01,26079875,1043195,18156000,05,07,17,25,37,,,,,,,
39樂合彩,111000079,2022/04/02,26445825,1057833,20682125,03,13,23,26,32,,,,,,,
39樂合彩,111000080,2022/04/04,28204275,1128171,10125875,04,17,29,32,37,,,,,,,
39樂合彩,111000081,2022/04/05,24785250,991410,11863375,07,09,31,37,39,,,,,,,
39樂合彩,111000082,2022/04/06,28703800,1148152,15555125,02,03,09,29,33,,,,,,,
39樂合彩,111000083,2022/04/07,26888050,1075522,8824000,03,07,25,36,37,,,,,,,
39樂合彩,111000084,2022/04/08,26486350,1059454,13517375,02,05,20,21,23,,,,,,,
39樂合彩,111000085,2022/04/09,29463500,1178540,9265375,02,20,26,27,37,,,,,,,
39樂合彩,111000086,2022/04/11,28768575,1150743,13543625,09,20,29,36,39,,,,,,,
39樂合彩,111000087,2022/04/12,25293375,1011735,15815250,19,23,32,34,36,,,,,,,
39樂合彩,111000088,2022/04/13,28522775,1140911,17559875,15,18,20,22,23,,,,,,,
39樂合彩,111000089,2022/04/14,26563675,1062547,21230125,11,13,17,18,29,,,,,,,
39樂合彩,111000090,2022/04/15,26707075,1068283,16956500,07,15,19,25,27,,,,,,,
39樂合彩,111000091,2022/04/16,29943125,1197725,16655000,06,07,13,20,30,,,,,,,
39樂合彩,111000092,2022/04/18,28001525,1120061,15683375,11,18,20,35,38,,,,,,,
39樂合彩,111000093,2022/04/19,24100450,964018,14003750,10,24,25,29,32,,,,,,,
39樂合彩,111000094,2022/04/20,27919525,1116781,9766750,02,06,26,29,37,,,,,,,
39樂合彩,111000095,2022/04/21,25593650,1023746,16485125,01,05,15,19,36,,,,,,,
39樂合彩,111000096,2022/04/22,24774825,990993,15747125,03,07,11,20,27,,,,,,,
39樂合彩,111000097,2022/04/23,28006925,1120277,20374000,10,23,26,33,39,,,,,,,
39樂合彩,111000098,2022/04/25,27423950,1096958,13372375,02,07,09,19,21,,,,,,,
